Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),label
0.0315,-0.151,-0.468,0.0166,0.491,0
0.0335,-0.149,-0.47,0.0166,0.493,0
0.0355,-0.142,-0.473,0.0156,0.494,0
0.0375,-0.135,-0.476,0.0145,0.495,0
0.0395,-0.13,-0.477,0.0134,0.495,0
0.0415,-0.125,-0.478,0.0113,0.494,0
0.0435,-0.12,-0.478,0.0103,0.493,0
0.0455,-0.118,-0.478,0.00812,0.492,0
0.0475,-0.115,-0.479,0.00599,0.493,0
0.0496,-0.11,-0.478,0.00493,0.491,0
0.0516,-0.109,-0.477,0.0028,0.489,0
0.0536,-0.106,-0.476,0.00173,0.488,0
0.0556,-0.103,-0.474,0.00173,0.485,0
0.0576,-0.0996,-0.471,0.00173,0.481,0
0.0596,-0.0996,-0.465,0.00173,0.476,0
0.0616,-0.0975,-0.461,0.00173,0.471,0
0.0636,-0.0943,-0.454,0.00493,0.463,0
0.0656,-0.0932,-0.446,0.00386,0.456,0
0.0676,-0.0921,-0.438,0.00599,0.447,0
0.0696,-0.0911,-0.431,0.00812,0.441,0
0.0716,-0.0879,-0.424,0.00919,0.433,0
0.0736,-0.0847,-0.417,0.0134,0.426,0
0.0756,-0.0836,-0.412,0.0166,0.421,0
0.0776,-0.0815,-0.405,0.0188,0.413,0
0.0796,-0.0794,-0.399,0.022,0.408,0
0.0816,-0.0804,-0.394,0.0252,0.403,0
0.0836,-0.0772,-0.384,0.0262,0.393,0
0.0856,-0.0783,-0.38,0.0294,0.389,0
0.0876,-0.0783,-0.372,0.0305,0.381,0
0.0897,-0.0772,-0.364,0.0337,0.374,0
0.0917,-0.0772,-0.358,0.0379,0.368,0
0.0937,-0.0772,-0.35,0.039,0.361,0
0.0957,-0.0794,-0.342,0.0422,0.353,0
0.0977,-0.0826,-0.336,0.0433,0.349,0
0.0997,-0.0858,-0.327,0.0475,0.341,0
0.102,-0.0911,-0.319,0.0497,0.336,0
0.104,-0.0964,-0.312,0.0518,0.33,0
0.106,-0.102,-0.304,0.0529,0.325,0
0.108,-0.109,-0.295,0.055,0.319,0
0.11,-0.117,-0.285,0.0571,0.313,0
0.112,-0.125,-0.281,0.0593,0.313,0
0.114,-0.133,-0.268,0.0603,0.305,0
0.116,-0.143,-0.262,0.0624,0.305,0
0.118,-0.153,-0.255,0.0624,0.304,0
0.12,-0.162,-0.247,0.0635,0.302,0
0.122,-0.171,-0.24,0.0635,0.302,0
0.124,-0.183,-0.23,0.0646,0.301,0
0.126,-0.191,-0.222,0.0646,0.3,0
0.128,-0.199,-0.216,0.0635,0.3,0
0.13,-0.206,-0.209,0.0656,0.3,0
0.132,-0.214,-0.199,0.0667,0.299,0
0.134,-0.22,-0.193,0.0667,0.3,0
0.136,-0.227,-0.186,0.0656,0.301,0
0.138,-0.232,-0.183,0.0656,0.302,0
0.14,-0.235,-0.18,0.0614,0.302,0
0.142,-0.238,-0.179,0.0603,0.304,0
0.144,-0.239,-0.178,0.0561,0.303,0
0.146,-0.237,-0.173,0.0539,0.299,0
0.148,-0.237,-0.171,0.0486,0.296,0
0.15,-0.237,-0.168,0.0454,0.294,0
0.152,-0.234,-0.167,0.0411,0.29,0
0.154,-0.231,-0.165,0.0358,0.286,0
0.156,-0.228,-0.163,0.0326,0.282,0
0.158,-0.224,-0.16,0.0284,0.277,0
0.16,-0.22,-0.16,0.0241,0.273,0
0.162,-0.215,-0.157,0.0177,0.267,0
0.164,-0.21,-0.154,0.0156,0.261,0
0.166,-0.203,-0.152,0.0134,0.254,0
0.168,-0.199,-0.152,0.00812,0.25,0
0.17,-0.193,-0.154,0.00493,0.247,0
0.172,-0.186,-0.161,0.0028,0.246,0
0.174,-0.177,-0.163,-0.000399,0.241,0
0.176,-0.17,-0.167,-0.00253,0.238,0
0.178,-0.164,-0.173,-0.00573,0.238,0
0.18,-0.154,-0.18,-0.00786,0.237,0
0.182,-0.144,-0.185,-0.00999,0.235,0
0.184,-0.137,-0.19,-0.0111,0.235,0
0.186,-0.127,-0.193,-0.0111,0.231,0
